rank,model_name,architecture,source_url,repository_url,author,task,tooth_detection,whole_tooth_detection,modality,rgb_compatible,training_dataset,bounding_box_support,weights_available,weight_format,framework,license,license_url,license_status,commercial_use,reported_map,reported_precision,reported_recall,local_inference_possible,current_environment_compatible,additional_dependencies,domain_match,confidence_in_suitability,limitations,recommendation
A,SegmentAnyTooth (YOLO11-nano + Light HQ-SAM),YOLO11-nano object detection (view-specific) + Light HQ-SAM segmentation,https://doi.org/10.1016/j.jds.2025.01.003,https://github.com/thangngoc89/SegmentAnyTooth,Nguyen et al. (NYCU / UMP HCMC),Whole-tooth localization (boxes) plus enumeration (FDI) and instance/semantic masks on intraoral photos,yes,yes (YOLO11 draws a box around each tooth; SAM refines mask),"RGB intraoral photograph (upper/lower occlusal, frontal, left/right lateral)",yes (trained on RGB intraoral photos; smartphones and DSLR),5000 intraoral photos / 1000 sets / 953 subjects; dentist-annotated surfaces + FDI; permanent teeth only (paper),yes (primary YOLO stage); masks also available,"yes, after signed Non-Commercial agreement emailed to authors (not anonymous public .pt)",".pt (documented names: segmentanytooth_yolo11_{upper,lower,right,front}.pt and segmentanytooth_vit_tiny.pt)",PyTorch + Ultralytics YOLO,Code MIT; weights SegmentAnyTooth Non-Commercial License; paper CC BY-NC-ND 4.0,https://github.com/thangngoc89/SegmentAnyTooth (LICENSE + SegmentAnyTooth_license_agreement.pdf),DOCUMENTED_NON_COMMERCIAL_WEIGHTS,weights prohibited without permission; code MIT,"not stated as mAP in abstract; mean DSC 0.983 upper occlusal, 0.973 lower, 0.920 frontal, 0.939 right, 0.945 left",not in abstract,not in abstract,yes after weights obtained,likely for YOLO stage (ultralytics+torch already present); SAM/Light HQ-SAM extra deps in pyproject.toml not installed this audit,uv/pyproject extras; OpenCV; view argument required; Ultralytics AGPL overlay,HIGH,promising for candidate boxes on matching views; requires validation; not claimed clinically accurate on this project's 420 photos,Email-gated weights; NC; FDI class IDs not project class 0; four YOLO models by view; laterals omit PM2–M3 per paper; mixed dentition excluded; AGPL if using Ultralytics; must not store FDI as ICDAS,BEST CANDIDATE FOR TESTING after legitimate license/email access. Collapse detections to class tooth=0. Do not use FDI outputs as the project's FDI stage without a separate protocol.
B,Roboflow Intraoral Tooth Detection (intraoral-tooth-detection-rohlq),Roboflow 3.0 Instance Segmentation (Fast),https://universe.roboflow.com/dental-cdueb/intraoral-tooth-detection-rohlq/model/1,https://universe.roboflow.com/dental-cdueb/intraoral-tooth-detection-rohlq,dental (Roboflow workspace dental-cdueb),Instance segmentation titled Intraoral Tooth Detection,likely (title); class list not fully verified (Cloudflare blocked full scrape),uncertain until class names verified; masks could yield boxes if instances are teeth,"RGB intraoral (dataset name + 1213 images, 640 stretch)",yes if listing is accurate,"intraoral-tooth-detection-rohlq, 1213 images (847/246/120)",derivable from instance masks; not confirmed as native OD,hosted Roboflow Inference API; public anonymous .pt NOT verified,Roboflow hosted / possible export after account (UNVERIFIED),Roboflow Inference (inference-sdk); not native Ultralytics unless exported,NOT VERIFIED on fetched pages (Cloudflare),https://universe.roboflow.com/dental-cdueb/intraoral-tooth-detection-rohlq,UNKNOWN,UNKNOWN,not retrieved,not retrieved,not retrieved,unclear without Roboflow export; hosted API would need key and is not this repo's local-first path,no without new packages/API key (install forbidden this stage),"inference-sdk, Roboflow API key",MEDIUM-HIGH (RGB intraoral claimed; class semantics unverified),possible candidate; requires manual page review of classes and license before any use,License UNKNOWN; weights may not be a free .pt; API/cloud; small relative to SAT; cannot recommend until license/classes verified,Second-line only after license and class-name verification. Do not use until LICENSE STATUS is not UNKNOWN.
B,Roboflow Teeth Detection (teeth-detection-0qd49),YOLOv11 Object Detection (Fast) per Universe listing,https://universe.roboflow.com/codeverse/teeth-detection-0qd49,https://universe.roboflow.com/codeverse/teeth-detection-0qd49,Codeverse,Object detection titled Teeth Detection,claimed,unverified (sample images not inspected this audit),UNVERIFIED (RGB vs other); listing does not prove intraoral RGB,unknown,403 images (listing),yes (OD),Roboflow hosted API; .pt UNVERIFIED,Roboflow,Roboflow / YOLOv11 listing,NOT VERIFIED,https://universe.roboflow.com/codeverse/teeth-detection-0qd49,UNKNOWN,UNKNOWN,not retrieved,not retrieved,not retrieved,unclear,no without Roboflow export/API,inference-sdk,UNKNOWN,weak-to-possible; tiny dataset; modality unverified,403 images; license UNKNOWN; hosted weights,"Do not use until modality, classes, and license are verified on the live page."
C,Roboflow tooth-1o3em (Idan8),yolov8s upload (listing),https://universe.roboflow.com/idan8/tooth-1o3em,https://universe.roboflow.com/idan8/tooth-1o3em,Idan8,Object detection titled tooth,claimed,unverified,UNVERIFIED,unknown,3827 images (listing),yes if OD listing is accurate,Roboflow API; .pt UNVERIFIED,Roboflow,YOLOv8 / Roboflow,NOT VERIFIED,https://universe.roboflow.com/idan8/tooth-1o3em,UNKNOWN,UNKNOWN,not retrieved,not retrieved,not retrieved,unclear,no without export,inference-sdk,UNKNOWN,uncertain despite larger image count,No verified RGB intraoral documentation in retrieved snippets; license UNKNOWN,Weak until screenshots/classes/modality confirmed.
C,Roboflow AI in Dentistry intraoral cam (Yang Dental),YOLOv8x model upload / instance segmentation listings (multiple versions),https://universe.roboflow.com/ai-in-dentistry/ai-in-dentistry-images-using-intraoral-cam-at-yang-dental-2,https://universe.roboflow.com/ai-in-dentistry/ai-in-dentistry-images-using-intraoral-cam-at-yang-dental,AI In Dentistry,"Segmentation/detection; listing classes include Tooth, Cracks, Tooth decay",partial (Tooth class claimed alongside pathology),uncertain (may mix tooth vs cracks/decay),RGB intraoral camera (listing title),yes if listing accurate,354 images on one version listing,possible from instances,Roboflow API,Roboflow,YOLOv8x / Roboflow,NOT VERIFIED,,UNKNOWN,UNKNOWN,not retrieved,not retrieved,not retrieved,unclear,no,inference-sdk,MEDIUM (intraoral cam claimed; mixed pathology classes),weak; small; mixed labels,Decay/cracks are not whole-tooth class; tiny set; license UNKNOWN,Not preferred over SegmentAnyTooth.
D,AlphaDent YOLOv8x-seg pretrained,YOLOv8x instance segmentation,https://github.com/ZFTurbo/AlphaDent,https://github.com/ZFTurbo/AlphaDent,Sosnin / ZFTurbo et al.,Pathology instance segmentation on RGB oral photographs,"no (pathology regions: abrasion, filling, crown, caries subclasses)",no,RGB DSLR oral photographs,"yes for photos, wrong task","AlphaDent >1200 images, 295 patients","yes around pathology instances, not whole teeth",yes (GitHub Releases .pt links documented; NOT downloaded this stage),.pt,Ultralytics YOLOv8 + PyTorch,GitHub Apache-2.0; HF dataset apache-2.0,https://github.com/ZFTurbo/AlphaDent,DOCUMENTED_APACHE_2.0_REPO,Apache-2.0 typically allows; not legal advice,paper claims high quality; exact mAP not copied here,not extracted,not extracted,yes (Ultralytics),likely (ultralytics present) but WRONG TASK,Ultralytics,HIGH modality / WRONG object,reject for whole-tooth boxes,Same failure mode as converting Zenodo d/D lesions: pathology ≠ tooth,REJECT for Stage 3C boxes. Do not convert pathology masks into tooth boxes.
D,liodon-ai/dental-panoramic-detector,YOLO11-N,https://huggingface.co/liodon-ai/dental-panoramic-detector,https://huggingface.co/liodon-ai/dental-panoramic-detector,Liodon AI,Pathology detection on panoramic radiographs,"no (caries, periapical_lesion, impacted_tooth)",no,panoramic radiograph,no credible transfer to RGB intraoral,"DENTEX + OralXrays-9, 9928 train images",yes (wrong classes/modality),documented on HF,.pt / .onnx,Ultralytics YOLO11 / ONNX,NOT STATED on fetched card,https://huggingface.co/liodon-ai/dental-panoramic-detector,UNKNOWN,UNKNOWN,mAP50 0.622; mAP50-95 0.406,0.630,0.614,yes for X-rays,Ultralytics yes; domain no,optional onnxruntime,LOW,reject,"X-ray pathology, not RGB whole tooth",REJECT
D,nsitnov/8024-yolov8-model,YOLOv8 instance segmentation,https://huggingface.co/nsitnov/8024-yolov8-model,https://huggingface.co/nsitnov/8024-yolov8-model,nsitnov,"Dental X-ray analysis (caries, crown, filling, implant, etc.)",no,no,dental X-ray,no,not fully documented on card,seg/boxes of restorations/lesions,claimed on HF,.pt,Ultralytics YOLOv8,NOT STATED on fetched card,,UNKNOWN,UNKNOWN,not stated,not stated,not stated,yes,Ultralytics yes; task no,none extra likely,LOW,reject,X-ray pathology/restoration classes,REJECT
D,ajeetsraina/clinical-dental-pathology-detector,YOLO (Ultralytics usage snippet),https://huggingface.co/ajeetsraina/clinical-dental-pathology-detector,https://huggingface.co/ajeetsraina/clinical-dental-pathology-detector,ajeetsraina,"Cavities, fillings, implants, impacted teeth",no,no,example usage xray.jpg; treat as radiograph-oriented,no (not documented as RGB intraoral whole-tooth),not documented on fetched card,yes pathology,HF load snippet,Ultralytics,PyTorch / Ultralytics,NOT STATED,,UNKNOWN,UNKNOWN,card claims 98.9% mAP@50 (unverified methodology),not stated,not stated,yes if weights load,task mismatch,,LOW,reject,Pathology; metric unverified; modality likely X-ray,REJECT
D,Sentoz/dental-opg-cavity-detection-model,YOLOv8n,https://huggingface.co/Sentoz/dental-opg-cavity-detection-model,https://huggingface.co/Sentoz/dental-opg-cavity-detection-model,Sentoz,Cavity detection on OPG,no,no,OPG X-ray,no,Dental OPG X-ray images,cavity boxes,HF,Ultralytics,YOLOv8n,NOT STATED,,UNKNOWN,UNKNOWN,card lists mAP@0.5 0.000 (unusable),not stated,not stated,yes,no for this task,,LOW,reject,Lesion/cavity OPG,REJECT
